tenure_id,season,team,start_week,end_week,head_coach,head_coach_started_midseason,offensive_play_caller,caller_role,head_coach_is_play_caller,verification_status,source_url,source_title,source_publisher,source_date,date_verified,verification_notes
2018_DAL_1_19_Jason Garrett,2018,DAL,1,19,Jason Garrett,false,Scott Linehan,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_DEN_1_17_Vance Joseph,2018,DEN,1,17,Vance Joseph,false,Bill Musgrave,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_DET_1_17_Matt Patricia,2018,DET,1,17,Matt Patricia,false,Jim Bob Cooter,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_GB_1_13_Mike McCarthy,2018,GB,1,13,Mike McCarthy,false,Mike McCarthy,head coach,true,verified,https://www.nfl.com/news/philbin-back-to-play-calling-after-about-20-years-0ap3000000996509,Philbin back to play-calling after about 20 years,NFL,2018-12-05,2026-07-20,McCarthy called through Week 13.
2018_GB_14_17_Joe Philbin,2018,GB,14,17,Joe Philbin,true,Joe Philbin,interim head coach,true,verified,https://www.nfl.com/news/philbin-back-to-play-calling-after-about-20-years-0ap3000000996509,Philbin back to play-calling after about 20 years,NFL,2018-12-05,2026-07-20,Philbin assumed play calling beginning Week 14.
2018_HOU_1_18_Bill O'Brien,2018,HOU,1,18,Bill O'Brien,false,Bill O'Brien,head coach,true,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_IND_1_19_Frank Reich,2018,IND,1,19,Frank Reich,false,Frank Reich,head coach,true,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_JAX_1_12_Doug Marrone,2018,JAX,1,12,Doug Marrone,false,Nathaniel Hackett,offensive coordinator,false,verified,https://www.espn.com/nfl/story/_/id/25383654,"Jaguars fire OC, bench Blake Bortles after seventh straight loss",Associated Press via ESPN,2018-11-26,2026-07-20,Hackett called through Week 12.
2018_JAX_13_17_Doug Marrone,2018,JAX,13,17,Doug Marrone,false,Scott Milanovich,quarterbacks coach,false,verified,https://www.espn.com/nfl/story/_/id/25383654,"Jaguars fire OC, bench Blake Bortles after seventh straight loss",Associated Press via ESPN,2018-11-26,2026-07-20,Milanovich became play caller beginning Week 13.
2018_KC_1_20_Andy Reid,2018,KC,1,20,Andy Reid,false,Andy Reid,head coach,true,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_LA_1_21_Sean McVay,2018,LA,1,21,Sean McVay,false,Sean McVay,head coach,true,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_LAC_1_19_Anthony Lynn,2018,LAC,1,19,Anthony Lynn,false,Ken Whisenhunt,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_LV_1_17_Jon Gruden,2018,LV,1,17,Jon Gruden,false,Jon Gruden,head coach,true,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_MIA_1_17_Adam Gase,2018,MIA,1,17,Adam Gase,false,Adam Gase,head coach,true,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_MIN_1_14_Mike Zimmer,2018,MIN,1,14,Mike Zimmer,false,John DeFilippo,offensive coordinator,false,verified,https://www.nfl.com/news/vikings-fire-offensive-coordinator-john-defilippo-0ap3000000998746,Vikings fire offensive coordinator John DeFilippo,NFL,2018-12-11,2026-07-20,DeFilippo called through Week 14.
2018_MIN_15_17_Mike Zimmer,2018,MIN,15,17,Mike Zimmer,false,Kevin Stefanski,interim offensive coordinator/quarterbacks coach,false,verified,https://www.nfl.com/news/vikings-fire-offensive-coordinator-john-defilippo-0ap3000000998746,Vikings fire offensive coordinator John DeFilippo,NFL,2018-12-11,2026-07-20,Stefanski took over beginning Week 15.
2018_NE_1_21_Bill Belichick,2018,NE,1,21,Bill Belichick,false,Josh McDaniels,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_NO_1_20_Sean Payton,2018,NO,1,20,Sean Payton,false,Sean Payton,head coach,true,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_NYG_1_17_Pat Shurmur,2018,NYG,1,17,Pat Shurmur,false,Pat Shurmur,head coach,true,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_NYJ_1_17_Todd Bowles,2018,NYJ,1,17,Todd Bowles,false,Jeremy Bates,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_PHI_1_19_Doug Pederson,2018,PHI,1,19,Doug Pederson,false,Doug Pederson,head coach,true,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_PIT_1_17_Mike Tomlin,2018,PIT,1,17,Mike Tomlin,false,Randy Fichtner,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_SEA_1_18_Pete Carroll,2018,SEA,1,18,Pete Carroll,false,Brian Schottenheimer,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_SF_1_17_Kyle Shanahan,2018,SF,1,17,Kyle Shanahan,false,Kyle Shanahan,head coach,true,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_TB_1_9_Dirk Koetter,2018,TB,1,9,Dirk Koetter,false,Todd Monken,offensive coordinator,false,verified,https://www.espn.com/nfl/story/_/id/25248045/tampa-bay-buccaneers-coach-dirk-koetter-says-called-plays-historic-loss,Buccaneers coach Dirk Koetter says he called plays in historic loss,ESPN,2018-11-11,2026-07-20,Monken called through Week 9.
2018_TB_10_10_Dirk Koetter,2018,TB,10,10,Dirk Koetter,false,Dirk Koetter,head coach,true,verified,https://www.nfl.com/news/dirk-koetter-i-have-my-own-reasons-for-calling-plays-0ap3000000987020,Dirk Koetter: I have my own reasons for calling plays,NFL,2018-11-11,2026-07-20,Koetter called Week 10 against Washington.
2018_TB_11_17_Dirk Koetter,2018,TB,11,17,Dirk Koetter,false,Todd Monken,offensive coordinator,false,verified,https://www.nfl.com/news/dirk-koetter-buccaneers-oc-will-call-plays-vs-giants-0ap3000000988847,Dirk Koetter: Buccaneers OC will call plays vs. Giants,NFL,2018-11-17,2026-07-20,Monken resumed play calling beginning Week 11.
2018_TEN_1_17_Mike Vrabel,2018,TEN,1,17,Mike Vrabel,false,Matt LaFleur,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_WAS_1_17_Jay Gruden,2018,WAS,1,17,Jay Gruden,false,Jay Gruden,head coach,true,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2019_ARI_1_17_Kliff Kingsbury,2019,ARI,1,17,Kliff Kingsbury,false,Kliff Kingsbury,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_ATL_1_17_Dan Quinn,2019,ATL,1,17,Dan Quinn,false,Dirk Koetter,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_BAL_1_19_John Harbaugh,2019,BAL,1,19,John Harbaugh,false,Greg Roman,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_BUF_1_18_Sean McDermott,2019,BUF,1,18,Sean McDermott,false,Brian Daboll,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_CAR_1_13_Ron Rivera,2019,CAR,1,13,Ron Rivera,false,Norv Turner,offensive coordinator,false,verified,https://www.panthers.com/news/scott-turner-embracing-the-opportunity-to-call-plays-for-the-first-time,Scott Turner embracing the opportunity to call plays for the first time,Carolina Panthers,2019-12-05,2026-07-20,Norv Turner called through Week 13 before moving into a special-assistant role.
2019_CAR_14_17_Ron Rivera,2019,CAR,14,17,Ron Rivera,false,Scott Turner,offensive coordinator/quarterbacks coach,false,verified,https://www.panthers.com/news/scott-turner-embracing-the-opportunity-to-call-plays-for-the-first-time,Scott Turner embracing the opportunity to call plays for the first time,Carolina Panthers,2019-12-05,2026-07-20,Scott Turner became play caller beginning Week 14.
2019_CHI_1_17_Matt Nagy,2019,CHI,1,17,Matt Nagy,false,Matt Nagy,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_CIN_1_17_Zac Taylor,2019,CIN,1,17,Zac Taylor,false,Zac Taylor,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_CLE_1_17_Freddie Kitchens,2019,CLE,1,17,Freddie Kitchens,false,Freddie Kitchens,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_DAL_1_17_Jason Garrett,2019,DAL,1,17,Jason Garrett,false,Kellen Moore,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_DEN_1_17_Vic Fangio,2019,DEN,1,17,Vic Fangio,false,Rich Scangarello,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_DET_1_17_Matt Patricia,2019,DET,1,17,Matt Patricia,false,Darrell Bevell,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_GB_1_20_Matt LaFleur,2019,GB,1,20,Matt LaFleur,false,Matt LaFleur,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_HOU_1_19_Bill O'Brien,2019,HOU,1,19,Bill O'Brien,false,Bill O'Brien,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_IND_1_17_Frank Reich,2019,IND,1,17,Frank Reich,false,Frank Reich,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_JAX_1_17_Doug Marrone,2019,JAX,1,17,Doug Marrone,false,John DeFilippo,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_KC_1_21_Andy Reid,2019,KC,1,21,Andy Reid,false,Andy Reid,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_LA_1_17_Sean McVay,2019,LA,1,17,Sean McVay,false,Sean McVay,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_LAC_1_8_Anthony Lynn,2019,LAC,1,8,Anthony Lynn,false,Ken Whisenhunt,offensive coordinator,false,verified,https://www.chargers.com/news/shane-steichen-assumes-offensive-play-calling-qb-coach,QB Coach Shane Steichen Assumes Offensive Play Calling,Los Angeles Chargers,2019-10-30,2026-07-20,Whisenhunt called through Week 8 before his dismissal.
2019_LAC_9_17_Anthony Lynn,2019,LAC,9,17,Anthony Lynn,false,Shane Steichen,quarterbacks coach/interim offensive coordinator,false,verified,https://www.chargers.com/news/shane-steichen-assumes-offensive-play-calling-qb-coach,QB Coach Shane Steichen Assumes Offensive Play Calling,Los Angeles Chargers,2019-10-30,2026-07-20,Steichen became primary caller beginning Week 9.
2019_LV_1_17_Jon Gruden,2019,LV,1,17,Jon Gruden,false,Jon Gruden,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_MIA_1_17_Brian Flores,2019,MIA,1,17,Brian Flores,false,Chad O'Shea,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_MIN_1_19_Mike Zimmer,2019,MIN,1,19,Mike Zimmer,false,Kevin Stefanski,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_NE_1_18_Bill Belichick,2019,NE,1,18,Bill Belichick,false,Josh McDaniels,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_NO_1_18_Sean Payton,2019,NO,1,18,Sean Payton,false,Sean Payton,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_NYG_1_17_Pat Shurmur,2019,NYG,1,17,Pat Shurmur,false,Pat Shurmur,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_NYJ_1_17_Adam Gase,2019,NYJ,1,17,Adam Gase,false,Adam Gase,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_PHI_1_18_Doug Pederson,2019,PHI,1,18,Doug Pederson,false,Doug Pederson,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_PIT_1_17_Mike Tomlin,2019,PIT,1,17,Mike Tomlin,false,Randy Fichtner,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_SEA_1_19_Pete Carroll,2019,SEA,1,19,Pete Carroll,false,Brian Schottenheimer,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_SF_1_21_Kyle Shanahan,2019,SF,1,21,Kyle Shanahan,false,Kyle Shanahan,head coach,true,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_TB_1_17_Bruce Arians,2019,TB,1,17,Bruce Arians,false,Byron Leftwich,offensive coordinator,false,verified,https://www.buccaneers.com/news/bruce-arians-breaks-down-play-calling-what-jameis-winston-likes-best-carmen-catc,"Bruce Arians Breaks Down Play Calling, What Jameis Winston Likes Best",Tampa Bay Buccaneers,2019-10-22,2026-07-20,Arians confirmed Leftwich held the play-calling responsibility.
2019_TEN_1_20_Mike Vrabel,2019,TEN,1,20,Mike Vrabel,false,Arthur Smith,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2019/coaches.htm,2019 NFL Coaches,Pro Football Reference,2019,2026-07-20,Caller verified against the 2019 coaching structure and contemporaneous reporting.
2019_WAS_1_5_Jay Gruden,2019,WAS,1,5,Jay Gruden,false,Jay Gruden,head coach,true,verified,https://www.nfl.com/news/jay-gruden-not-bitter-over-firing-i-didn-t-get-it-done-0ap3000001063472,Jay Gruden not bitter over firing: I didn't get it done,NFL,2019-10-09,2026-07-20,Gruden called through his Week 5 dismissal.
2019_WAS_6_17_Bill Callahan,2019,WAS,6,17,Bill Callahan,true,Kevin O'Connell,offensive coordinator,false,verified,https://www.nfl.com/news/jay-gruden-not-bitter-over-firing-i-didn-t-get-it-done-0ap3000001063472,Jay Gruden not bitter over firing: I didn't get it done,NFL,2019-10-09,2026-07-20,O'Connell took over play calling under interim head coach Bill Callahan beginning Week 6.
2020_ARI_1_17_Kliff Kingsbury,2020,ARI,1,17,Kliff Kingsbury,false,Kliff Kingsbury,head coach,true,verified,https://www.pro-football-reference.com/years/2020/coaches.htm,2020 NFL Coaches,Pro Football Reference,2020,2026-07-20,Caller verified against the 2020 coaching structure and contemporaneous reporting.
2020_ATL_1_5_Dan Quinn,2020,ATL,1,5,Dan Quinn,false,Dirk Koetter,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2020/coaches.htm,2020 NFL Coaches,Pro Football Reference,2020,2026-07-20,Caller verified against the 2020 coaching structure and contemporaneous reporting.
2020_ATL_6_17_Raheem Morris,2020,ATL,6,17,Raheem Morris,true,Dirk Koetter,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2020/coaches.htm,2020 NFL Coaches,Pro Football Reference,2020,2026-07-20,Caller verified against the 2020 coaching structure and contemporaneous reporting.
2020_BAL_1_19_John Harbaugh,2020,BAL,1,19,John Harbaugh,false,Greg Roman,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2020/coaches.htm,2020 NFL Coaches,Pro Football Reference,2020,2026-07-20,Caller verified against the 2020 coaching structure and contemporaneous reporting.
2020_BUF_1_20_Sean McDermott,2020,BUF,1,20,Sean McDermott,false,Brian Daboll,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2020/coaches.htm,2020 NFL Coaches,Pro Football Reference,2020,2026-07-20,Caller verified against the 2020 coaching structure and contemporaneous reporting.
2020_CAR_1_17_Matt Rhule,2020,CAR,1,17,Matt Rhule,false,Joe Brady,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2020/coaches.htm,2020 NFL Coaches,Pro Football Reference,2020,2026-07-20,Caller verified against the 2020 coaching structure and contemporaneous reporting.
2020_CHI_1_9_Matt Nagy,2020,CHI,1,9,Matt Nagy,false,Matt Nagy,head coach,true,verified,https://www.chicagobears.com/news/matt-nagy-relinquishing-play-calling-duties-to-offensive-coordinator-bill-lazor,Nagy relinquishing play-calling duties to Lazor,Chicago Bears,2020-11-13,2026-07-20,Nagy called through Week 9.
2020_CHI_10_18_Matt Nagy,2020,CHI,10,18,Matt Nagy,false,Bill Lazor,offensive coordinator,false,verified,https://www.chicagobears.com/news/matt-nagy-relinquishing-play-calling-duties-to-offensive-coordinator-bill-lazor,Nagy relinquishing play-calling duties to Lazor,Chicago Bears,2020-11-13,2026-07-20,Lazor began calling in Week 10 and continued through the postseason.
2020_CIN_1_17_Zac Taylor,2020,CIN,1,17,Zac Taylor,false,Zac Taylor,head coach,true,verified,https://www.pro-football-reference.com/years/2020/coaches.htm,2020 NFL Coaches,Pro Football Reference,2020,2026-07-20,Caller verified against the 2020 coaching structure and contemporaneous reporting.
2020_CLE_1_17_Kevin Stefanski,2020,CLE,1,17,Kevin Stefanski,false,Kevin Stefanski,head coach,true,verified,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/kevin-stefanski-credits-alex-van-pelts-outstanding-playcalling,Kevin Stefanski credits Alex Van Pelt's outstanding playcalling,NBC Sports,2021-01-11,2026-07-20,Stefanski called throughout the regular season.
2020_CLE_18_18_Kevin Stefanski,2020,CLE,18,18,Kevin Stefanski,false,Alex Van Pelt,offensive coordinator,false,verified,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/kevin-stefanski-credits-alex-van-pelts-outstanding-playcalling,Kevin Stefanski credits Alex Van Pelt's outstanding playcalling,NBC Sports,2021-01-11,2026-07-20,Van Pelt called the Wild Card game while Stefanski was isolated with COVID-19.
2020_CLE_19_19_Kevin Stefanski,2020,CLE,19,19,Kevin Stefanski,false,Kevin Stefanski,head coach,true,verified,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/kevin-stefanski-credits-alex-van-pelts-outstanding-playcalling,Kevin Stefanski credits Alex Van Pelt's outstanding playcalling,NBC Sports,2021-01-11,2026-07-20,Stefanski returned for the Divisional Round.
2020_DAL_1_17_Mike McCarthy,2020,DAL,1,17,Mike McCarthy,false,Kellen Moore,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2020/coaches.htm,2020 NFL Coaches,Pro Football Reference,2020,2026-07-20,Caller verified against the 2020 coaching structure and contemporaneous reporting.
2020_DEN_1_17_Vic Fangio,2020,DEN,1,17,Vic Fangio,false,Pat Shurmur,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2020/coaches.htm,2020 NFL Coaches,Pro Football Reference,2020,2026-07-20,Caller verified against the 2020 coaching structure and contemporaneous reporting.
2020_DET_1_12_Matt Patricia,2020,DET,1,12,Matt Patricia,false,Darrell Bevell,offensive coordinator,false,verified,https://www.nfl.com/news/lions-interim-coach-darrell-bevell-won-t-coach-vs-bucs-due-to-covid-19-protocols,Lions interim coach Darrell Bevell won't coach vs. Bucs due to COVID-19 protocols,NFL,2020-12-24,2026-07-20,Bevell called during Matt Patricia's tenure.
2020_DET_13_15_Darrell Bevell,2020,DET,13,15,Darrell Bevell,true,Darrell Bevell,interim head coach,true,verified,https://www.nfl.com/news/lions-interim-coach-darrell-bevell-won-t-coach-vs-bucs-due-to-covid-19-protocols,Lions interim coach Darrell Bevell won't coach vs. Bucs due to COVID-19 protocols,NFL,2020-12-24,2026-07-20,Bevell retained play calling after becoming interim head coach.
